Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32255,"Vanish (Rizzoli & Isles, #5)",Tess Gerritsen,"Gerritsen, Tess",,"=""0345476980""","=""9780345476982""",4,4.15,Ballantine Books,Paperback,401,2006,2005,,2011/03/13,,,read,,,,1,0
21722,"Faithless (Grant County, #5)",Karin Slaughter,"Slaughter, Karin",,"=""0440242916""","=""9780440242918""",3,4.11,Dell,Mass Market Paperback,549,2006,2005,,2011/03/13,,,read,,,,1,0
303098,Riptide - Mörderische Flut,Douglas Preston,"Preston, Douglas",Lincoln Child,"=""3426619148""","=""9783426619148""",3,3.98,Droemer Knaur,Hardcover,528,2001,1998,,2011/03/13,,,read,,,,1,0
8703853,"The King's Gambit (SPQR, #1)",John Maddox Roberts,"Roberts, John Maddox",,"=""""","=""""",4,3.80,Minotaur Books,Kindle Edition,292,2007,1990,,2011/03/13,,,read,,,,1,0
526827,"Bad Debts (Jack Irish, #1)",Peter Temple,"Temple, Peter",,"=""1596921293""","=""9781596921290""",3,3.89,MacAdam/Cage,Paperback,318,2005,1996,,2011/03/13,,,read,,,,1,0
18999,"Smiley's People (George Smiley, #7; Karla Trilogy, #3)",John Le Carré,"Carré, John Le",,"=""0743455800""","=""9780743455800""",4,4.29,Scribner,Paperback,397,2002,1979,,2011/03/13,,,read,,,,1,0
85207,"The Hot Kid (Carl Webster, #1)",Elmore Leonard,"Leonard, Elmore",,"=""0060724234""","=""9780060724238""",3,3.79,Mariner Books,Mass Market Paperback,387,2006,2005,,2011/03/13,,,read,,,,1,0
7023554,"Sizzling Sixteen (Stephanie Plum, #16)",Janet Evanovich,"Evanovich, Janet",,"=""0739377728""","=""9780739377727""",0,3.98,Random House,Paperback,371,2010,2010,,2011/03/13,to-read,to-read (#36),to-read,,,,0,0
40329,"Metro Girl (Alex Barnaby, #1)",Janet Evanovich,"Evanovich, Janet",,"=""0060584025""","=""9780060584023""",3,3.70,HarperTorch,Mass Market Paperback,384,2005,2004,,2011/03/13,,,read,,,,1,0
6048530,"Finger Lickin' Fifteen (Stephanie Plum, #15)",Janet Evanovich,"Evanovich, Janet",,"=""0312383282""","=""9780312383282""",0,4.03,St. Martin's Press,Hardcover,308,2009,2009,,2011/03/13,to-read,to-read (#35),to-read,,,,0,0
2292384,"Fearless Fourteen (Stephanie Plum, #14)",Janet Evanovich,"Evanovich, Janet",,"=""0312349513""","=""9780312349516""",4,4.06,St. Martin's Press,Hardcover,310,2008,2008,,2011/03/13,,,read,,,,1,0
86663,"Ten Big Ones (Stephanie Plum, #10)",Janet Evanovich,"Evanovich, Janet",,"=""0312936222""","=""9780312936228""",3,4.16,St. Martin's Press,Mass Market Paperback,319,2005,2004,,2011/03/13,,,read,,,,1,0
40317,"Lean Mean Thirteen (Stephanie Plum, #13)",Janet Evanovich,"Evanovich, Janet",,"=""0312349491""","=""9780312349493""",3,4.11,St. Martin's Press,Hardcover,310,2007,2007,,2011/03/13,,,read,,,,1,0
3507,"Twelve Sharp (Stephanie Plum, #12)",Janet Evanovich,"Evanovich, Janet",,"=""0312349483""","=""9780312349486""",3,4.17,St. Martin's Press,Hardcover,310,2006,2006,,2011/03/13,,,read,,,,1,0
11003,"Eleven on Top (Stephanie Plum, #11)",Janet Evanovich,"Evanovich, Janet",,"=""0312985347""","=""9780312985349""",3,4.17,St. Martin's Press,Mass Market Paperback,321,2006,2005,,2011/03/13,,,read,,,,1,0
40331,"To the Nines (Stephanie Plum, #9)",Janet Evanovich,"Evanovich, Janet",,"=""0747267634""","=""9780747267638""",3,4.16,Headline,Paperback,372,2004,2003,,2011/03/13,,,read,,,,1,0
6423,"High Five (Stephanie Plum, #5)",Janet Evanovich,"Evanovich, Janet",,"=""0330371231""","=""9780330371230""",3,4.18,St. Martin's Press,Paperback,336,2000,1999,,2011/03/13,,,read,,,,1,0
6425,"Hard Eight (Stephanie Plum, #8)",Janet Evanovich,"Evanovich, Janet",,"=""0312983867""","=""9780312983864""",3,4.17,St. Martin's Press,Mass Market Paperback,326,2003,2002,,2011/03/13,,,read,,,,1,0
6424,"Seven Up (Stephanie Plum, #7)",Janet Evanovich,"Evanovich, Janet",,"=""0312980140""","=""9780312980146""",3,4.15,St. Martin's Press,Mass Market Paperback,337,2001,2001,,2011/03/13,,,read,,,,1,0
6858,"Hot Six (Stephanie Plum, #6)",Janet Evanovich,"Evanovich, Janet",,"=""0312976275""","=""9780312976279""",3,4.19,St. Martin's Paperbacks,Paperback,336,2001,2000,,2011/03/13,,,read,,,,1,0
6422,"Four to Score (Stephanie Plum, #4)",Janet Evanovich,"Evanovich, Janet",,"=""0312966970""","=""9780312966973""",3,4.17,St Martins Press,Mass Market Paperback,313,1999,1998,,2011/03/13,,,read,,,,1,0
6427,"Two for the Dough (Stephanie Plum, #2)",Janet Evanovich,"Evanovich, Janet",,"=""0140255559""","=""9780140255553""",3,4.11,Penguin Books,Paperback,326,1996,1996,,2011/03/13,,,read,,,,1,0
6854,"Three to Get Deadly (Stephanie Plum, #3)",Janet Evanovich,"Evanovich, Janet",,"=""0312966091""","=""9780312966096""",3,4.15,St. Martin's Press,Mass Market Paperback,321,1998,1997,,2011/03/13,,,read,,,,1,0
6853,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,"Evanovich, Janet",,"=""0312362080""","=""9780312362089""",3,4.05,St. Martin's Griffin,Paperback,320,2006,1994,,2011/03/13,,,read,,,,1,0
32254,The Mephisto Club,Tess Gerritsen,"Gerritsen, Tess",,"=""0345476999""","=""9780345476999""",3,4.03,Ballantine Books,Hardcover,368,2006,2006,,2011/03/13,,,read,,,,1,0
3825,"Death in Holy Orders (Adam Dalgliesh, #11)",P.D. James,"James, P.D.",,"=""0345446666""","=""9780345446664""",4,3.92,Ballantine Books,Mass Market Paperback,448,2002,2001,,2011/03/13,,,read,,,,1,0
443291,"The Murder Room (Adam Dalgliesh, #12)",P.D. James,"James, P.D.",,"=""1400076099""","=""9781400076093""",4,3.86,Vintage,Paperback,415,2004,2003,,2011/03/13,,,read,,,,1,0
4162673,"The Private Patient (Adam Dalgliesh, #14)",P.D. James,"James, P.D.",,"=""0571242448""","=""9780571242443""",4,3.81,Faber & Faber,Hardcover,416,2008,2008,,2011/03/13,,,read,,,,1,0
6138,The Moonstone,Wilkie Collins,"Collins, Wilkie",Carolyn G. Heilbrun,"=""0375757856""","=""9780375757853""",3,3.91,Modern Library,Paperback,528,2001,1868,,2011/03/13,,,read,,,,1,0
39793,Before the Frost (Linda Wallander #1),Henning Mankell,"Mankell, Henning",Ebba Segerberg,"=""1400095816""","=""9781400095810""",0,3.85,Knopf Doubleday Publishing Group,Paperback,375,2006,2002,,2011/03/13,to-read,to-read (#34),to-read,,,,0,0
39504,The Girl with the Long Green Heart,Lawrence Block,"Block, Lawrence",,"=""0843955856""","=""9780843955859""",4,3.78,Hard Case Crime,Paperback,251,2005,1965,,2011/03/13,,,read,,,,1,0
402744,Small Town,Lawrence Block,"Block, Lawrence",,"=""0752858742""","=""9780752858746""",3,3.51,Orion,Paperback,496,2004,2002,,2011/03/13,,,read,,,,1,0
